name,email,phone,gender,age,date,address,city,state,zipcode,country,salary
Kuybida Dmitrik,kuybidadmitrik@examplecom (Invalid),(097) C05-5693 (Invalid),male (Valid),64 (Valid),1960-06-03 (Valid),4762 Generala Pavlenka,Girske,Luganska,63498,Ukraine,"71,564.00"
Jeff Dean,jeffdean@examplecom (Invalid),016977 17576 (Invalid),male (Valid),73 (Valid),1950-10-24 (Valid),4242 George Street,Westminster,Powys,C4 7UX,United Kingdom,"40,913.00"
Jessie Holmes,jessieholmes@examplecom (Invalid),04-2364-7259 (Invalid),male (Valid),32 (Valid),1992-09-02 (Valid),279 White Oak Dr,Queanbeyan,Western Australia,6514,Australia,"117,411.00"
Linnea Kallio,linneakallio@examplecom (Invalid),02-136-581 (Invalid),female (Valid),38 (Valid),1986-01-21 (Valid),3939 Mechelininkatu,Juankoski,Central Finland,35984,Finland,"81,216.00"
Cristina Calvo,cristinacalvo@examplecom (Invalid),921-811-921 (Invalid),female (Valid),26 (Valid),1998-07-04 (Valid),6902 Avenida del Planetario,Alicante,Extremadura,76179,Spain,"111,275.00"
Sofija Bruland,sofijabruland@examplecom (Invalid),21774621 (Invalid),female (Valid),47 (Valid),1977-06-10 (Valid),4673 Brugata,Sauda,Troms - Romsa,5121,Norway,"41,951.00"
Tristan Rolland,tristanrolland@examplecom (Invalid),01-34-67-77-12 (Invalid),male (Valid),52 (Valid),1972-04-10 (Valid),122 Place Paul-Duquaire,Marseille,Bouches-du-Rhône,22834,France,"73,750.00"
Emma Thomsen,emmathomsen@examplecom (Invalid),93858588 (Invalid),female (Valid),75 (Valid),1949-06-03 (Valid),53 Køgevej,Klitmøller,Nordjylland,80133,Denmark,"97,484.00"
Benjamin Anderson,benjaminanderson@examplecom (Invalid),R12 P82-2078 (Invalid),male (Valid),47 (Valid),1977-02-25 (Valid),7410 Duke St,Hampton,Alberta,C5A 9P5,Canada,"39,915.00"
Sapthashree Mendonsa,sapthashreemendonsa@examplecom (Invalid),719-659-3501 (Invalid),female (Valid),74 (Valid),1950-10-07 (Valid),971 Dadabhai Naoroji Rd,Patna,Tamil Nadu,16973,India,"49,425.00"
Victoria Álvarez,victoriaalvarez@examplecom (Invalid),922-098-919 (Invalid),female (Valid),73 (Valid),1950-11-29 (Valid),1371 Calle de La Luna,Talavera de la Reina,Islas Baleares,27881,Spain,"53,596.00"
Serafín Leyva,serafinleyva@examplecom (Invalid),(688) 873 5653 (Invalid),male (Valid),34 (Valid),1990-03-16 (Valid),7567 Circunvalación Nayarit,San Mateo Tocuaro (Tocuaro),Baja California,35075,Mexico,"116,276.00"
Melike Tahincioğlu,meliketahincioglu@examplecom (Invalid),(636)-260-8605 (Invalid),female (Valid),28 (Valid),1996-03-10 (Valid),9200 Maçka Cd,Bilecik,Antalya,85834,Turkey,"56,609.00"
Leevi Wuollet,leeviwuollet@examplecom (Invalid),07-799-105 (Invalid),male (Valid),50 (Valid),1974-04-04 (Valid),2230 Korkeavuorenkatu,Maaninka,Pirkanmaa,36076,Finland,"104,760.00"
