name,email,phone,gender,age,date,address,city,state,zipcode,country,salary
Vega Borge,vega.borge@example.com (Valid),60985238 (Invalid),female (Valid),29 (Valid),1995-06-11 (Valid),5887 Langretta,Storslett,Aust-Agder,4801,Norway,"91,925.00"
Sarah Ambrose,sarah.ambrose@example.com (Valid),X30 P38-2138 (Invalid),female (Valid),37 (Valid),1987-04-18 (Valid),5238 Dalhousie Ave,Brockton,Saskatchewan,V7H 8L3,Canada,"66,060.00"
Harry Meehan,harry.meehan@example.com (Valid),061-861-5694 (Invalid),male (Valid),37 (Valid),1986-11-04 (Valid),847 North Road,Gorey,Waterford,37481,Ireland,"114,626.00"
Erin Daniels,erin.daniels@example.com (Valid),021-766-5136 (Invalid),female (Valid),57 (Valid),1967-10-01 (Valid),7028 Killarney Road,Duleek,Kerry,54775,Ireland,"97,023.00"
Gafiya Barannik,gafiya.barannik@example.com (Valid),(098) D49-9045 (Invalid),female (Valid),79 (Valid),1945-09-22 (Valid),5823 Uborevicha,Stariy Sambir,Avtonomna Respublika Krim,18546,Ukraine,"119,212.00"
Lewis Hughes,lewis.hughes@example.com (Valid),020 7171 2540 (Invalid),male (Valid),41 (Valid),1983-07-11 (Valid),1697 Bridge Road,Salisbury,Greater Manchester,U4I 2AQ,United Kingdom,"115,921.00"
Gabino Uribe,gabino.uribe@example.com (Valid),(615) 693 5497 (Invalid),male (Valid),59 (Valid),1965-06-07 (Valid),7696 Circunvalación Morelos,Santiago Acutzilapan,Puebla,49903,Mexico,"40,714.00"
Celia Mateo,celia.mateo@example.com (Valid),(650) 768 9718 (Invalid),female (Valid),67 (Valid),1956-12-31 (Valid),8119 Circunvalación Bhután,Pantanal,Chiapas,20405,Mexico,"109,371.00"
Milo Bærheim,milo.baerheim@example.com (Valid),86479897 (Invalid),male (Valid),27 (Valid),1997-05-04 (Valid),1042 Kanslergata,Storsand,Nord-Trøndelag,9273,Norway,"105,115.00"
Cathy Torres,cathy.torres@example.com (Valid),08-3794-6610 (Invalid),female (Valid),54 (Valid),1970-01-04 (Valid),7336 W Gray St,Australian Capital Territory,Victoria,673,Australia,"89,836.00"
August Larsen,august.larsen@example.com (Valid),38530496 (Invalid),male (Valid),70 (Valid),1954-03-15 (Valid),7234 Nygade,Sommersted,Sjælland,95614,Denmark,"117,582.00"
Vildan Aşıkoğlu,vildan.asikoglu@example.com (Valid),(791)-331-7898 (Invalid),female (Valid),24 (Valid),1999-11-07 (Valid),4113 Istiklal Cd,Aydın,Yozgat,42798,Turkey,"75,108.00"
Sobislav Pavlyuk,sobislav.pavlyuk@example.com (Valid),(068) I76-8389 (Invalid),male (Valid),68 (Valid),1956-01-16 (Valid),6368 Ruska,Novodnistrovsk,Luganska,87129,Ukraine,"88,626.00"
Eir Laastad,eir.laastad@example.com (Valid),21944770 (Invalid),female (Valid),24 (Valid),2000-06-29 (Valid),8350 P. A. Holms vei,Leirvik,Oslo,1503,Norway,"46,322.00"
Sabri Görtz,sabri.gortz@example.com (Valid),0654-1993250 (Invalid),male (Valid),61 (Valid),1963-10-19 (Valid),1124 Rosenweg,Kehl,Niedersachsen,30541,Germany,"100,710.00"
Alexa Stewart,alexa.stewart@example.com (Valid),04-8610-3530 (Invalid),female (Valid),56 (Valid),1967-11-05 (Valid),5166 Lovers Ln,Perth,Tasmania,1734,Australia,"95,884.00"
Tracy Watson,tracy.watson@example.com (Valid),(440) 262-0857 (Invalid),male (Valid),33 (Valid),1991-05-19 (Valid),8364 Valwood Pkwy,Lowell,Nevada,13778,United States,"89,622.00"
Daniela Duran,daniela.duran@example.com (Valid),991-633-274 (Invalid),female (Valid),74 (Valid),1949-12-31 (Valid),1665 Calle de Atocha,Vitoria,Andalucía,45079,Spain,"40,106.00"
Daryl Rice,daryl.rice@example.com (Valid),(252) 825-7437 (Invalid),male (Valid),53 (Valid),1971-02-23 (Valid),8071 E Pecan St,Duncanville,Minnesota,22858,United States,"119,061.00"
Mónica Carrasco,monica.carrasco@example.com (Valid),905-537-730 (Invalid),female (Valid),72 (Valid),1952-06-18 (Valid),9704 Calle de Toledo,Talavera de la Reina,La Rioja,78872,Spain,"85,031.00"
Arnaud Patel,arnaud.patel@example.com (Valid),C27 K71-0071 (Invalid),male (Valid),39 (Valid),1985-07-14 (Valid),5339 Vimy St,Chatham,Saskatchewan,W3Y 4A1,Canada,"109,268.00"
Aapo Sakala,aapo.sakala@example.com (Valid),08-659-081 (Invalid),male (Valid),49 (Valid),1975-10-18 (Valid),4983 Otavalankatu,Lemi,Central Ostrobothnia,73090,Finland,"50,523.00"
Craig Fitzpatrick,craig.fitzpatrick@example.com (Valid),031-785-5461 (Invalid),male (Valid),39 (Valid),1985-03-31 (Valid),390 Church Road,Ratoath,Roscommon,88726,Ireland,"89,073.00"
Isla Palo,isla.palo@example.com (Valid),02-270-999 (Invalid),female (Valid),47 (Valid),1977-04-25 (Valid),9033 Rautatienkatu,Ylöjärvi,Kymenlaakso,72014,Finland,"76,485.00"
Eckhart Sippel,eckhart.sippel@example.com (Valid),0589-1611933 (Invalid),male (Valid),33 (Valid),1991-04-08 (Valid),6670 Jahnstraße,Dornstetten,Rheinland-Pfalz,35313,Germany,"117,211.00"
