name,email,phone,gender,age,date,address,city,state,zipcode,country,salary
Dhanashri Taj,dhanashri.taj@example.com (Valid) (Invalid),8656325170 (Valid) (Invalid),female (Valid) (Invalid),35 (Valid) (Invalid),1989-07-28 (Valid) (Invalid),1380 Carter Rd Promenade,Kakinada,Uttarakhand,92005,India,"73,512.00"
Neha Jain,neha.jain@example.com (Valid) (Invalid),8178913431 (Valid) (Invalid),female (Valid) (Invalid),33 (Valid) (Invalid),1991-05-05 (Valid) (Invalid),3274 Gali Paranthe Wali,Shimoga,Punjab,94245,India,"105,136.00"
Balvan Gamskar,balvan.gamskar@example.com (Valid) (Invalid),7682072889 (Valid) (Invalid),male (Valid) (Invalid),76 (Valid) (Invalid),1948-05-06 (Valid) (Invalid),3851 Chimanlal Girdharlal Rd,Bardhaman,Haryana,65321,India,"103,587.00"
Neel Pai,neel.pai@example.com (Valid) (Invalid),8931621438 (Valid) (Invalid),male (Valid) (Invalid),45 (Valid) (Invalid),1979-01-16 (Valid) (Invalid),131 Naiduthota,Kochi,Assam,24970,India,"71,153.00"
Nimit Thampy,nimit.thampy@example.com (Valid) (Invalid),9247650750 (Valid) (Invalid),male (Valid) (Invalid),40 (Valid) (Invalid),1983-11-29 (Valid) (Invalid),6512 Bannerghatta Rd,Khora,Puducherry,20501,India,"47,239.00"
Renuka Bhoja,renuka.bhoja@example.com (Valid) (Invalid),7165518254 (Valid) (Invalid),female (Valid) (Invalid),42 (Valid) (Invalid),1982-03-09 (Valid) (Invalid),4450 Tripolia Bazar,Jamshedpur,Chhattisgarh,19152,India,"119,299.00"
Vedant Salian,vedant.salian@example.com (Valid) (Invalid),7119463611 (Valid) (Invalid),male (Valid) (Invalid),49 (Valid) (Invalid),1974-11-15 (Valid) (Invalid),8093 Gali Paranthe Wali,Arrah,Goa,74651,India,"72,540.00"
Ayush Das,ayush.das@example.com (Valid) (Invalid),8096370735 (Valid) (Invalid),male (Valid) (Invalid),40 (Valid) (Invalid),1984-03-16 (Valid) (Invalid),1418 Dadabhai Naoroji Rd,Aligarh,Uttarakhand,47961,India,"72,045.00"
Sudha Kaur,sudha.kaur@example.com (Valid) (Invalid),7391107608 (Valid) (Invalid),female (Valid) (Invalid),40 (Valid) (Invalid),1984-05-05 (Valid) (Invalid),5234 Kasba Peth,Bikaner,Manipur,10141,India,"93,756.00"
Sumana Moolya,sumana.moolya@example.com (Valid) (Invalid),7567932248 (Valid) (Invalid),female (Valid) (Invalid),35 (Valid) (Invalid),1989-07-31 (Valid) (Invalid),7266 Marine Drive,Jalandhar,Odisha,55744,India,"69,541.00"
Ishwar Shenoy,ishwar.shenoy@example.com (Valid) (Invalid),7973342728 (Valid) (Invalid),male (Valid) (Invalid),69 (Valid) (Invalid),1955-03-28 (Valid) (Invalid),8875 Kazimar St,Raipur,Assam,87997,India,"36,848.00"
Akhil Bal,akhil.bal@example.com (Valid) (Invalid),9618443713 (Valid) (Invalid),male (Valid) (Invalid),28 (Valid) (Invalid),1996-07-26 (Valid) (Invalid),587 Shakespeare Sarani,Tinsukia,Maharashtra,38143,India,"115,734.00"
Samesh Nagane,samesh.nagane@example.com (Valid) (Invalid),7640535992 (Valid) (Invalid),male (Valid) (Invalid),36 (Valid) (Invalid),1988-03-20 (Valid) (Invalid),4018 Sao Tome Old Quarter,Jalna,Nagaland,48848,India,"46,538.00"
Shreedevi Anand,shreedevi.anand@example.com (Valid) (Invalid),7580869621 (Valid) (Invalid),female (Valid) (Invalid),28 (Valid) (Invalid),1996-06-05 (Valid) (Invalid),3661 Maharanipeta,Siwan,Andhra Pradesh,77310,India,"106,032.00"
Swathi Rai,swathi.rai@example.com (Valid) (Invalid),7748420505 (Valid) (Invalid),female (Valid) (Invalid),63 (Valid) (Invalid),1961-02-24 (Valid) (Invalid),8315 Rajpath,Guna,Uttarakhand,77852,India,"78,974.00"
Akash Bhoja,akash.bhoja@example.com (Valid) (Invalid),8188076170 (Valid) (Invalid),male (Valid) (Invalid),54 (Valid) (Invalid),1970-07-27 (Valid) (Invalid),7442 Ashoka Rd,Proddatur,Maharashtra,92969,India,"106,615.00"
