name,email,phone,gender,age,date,address,city,state,zipcode,country,salary
Jerome Mitchelle,jerome.mitchelle@example.com (Valid),011-304-2043 (Invalid),male (Valid),46 (Valid),1978-06-25 (Valid),5533 Albert Road,Malahide,Westmeath,91566,Ireland,"31,319.00"
مریم سلطانی نژاد,mrym.sltnynjd@example.com (Valid),034-32991011 (Invalid),female (Valid),47 (Valid),1977-01-13 (Valid),959 میدان صادقیه,شیراز,آذربایجان غربی,93487,Iran,"90,690.00"
Crijn Boosten,crijn.boosten@example.com (Valid),(094) 1111279 (Invalid),male (Valid),57 (Valid),1967-05-07 (Valid),1894 Hedastraat,Hoeven,Groningen,1670 HQ,Netherlands,"50,114.00"
Moa Leirvik,moa.leirvik@example.com (Valid),83607313 (Invalid),female (Valid),59 (Valid),1965-07-17 (Valid),5363 Vestlia,Trømborg,Møre og Romsdal,8656,Norway,"83,377.00"
Alisa Manni,alisa.manni@example.com (Valid),02-560-731 (Invalid),female (Valid),36 (Valid),1988-05-02 (Valid),7007 Bulevardi,Oulainen,Lapland,82267,Finland,"40,806.00"
Julio César Lomeli,juliocesar.lomeli@example.com (Valid),(693) 085 2021 (Invalid),male (Valid),42 (Valid),1982-06-23 (Valid),3013 Periférico Ocasio,Nacajuca,Estado de Mexico,94562,Mexico,"66,841.00"
Jon Dean,jon.dean@example.com (Valid),08-2420-4397 (Invalid),male (Valid),30 (Valid),1994-08-29 (Valid),7833 Prospect Rd,Tweed,Australian Capital Territory,2629,Australia,"93,338.00"
Victoria Guajardo,victoria.guajardo@example.com (Valid),(605) 636 6878 (Invalid),female (Valid),65 (Valid),1959-08-31 (Valid),7035 Prolongación Albania,Villa Purificación,Baja California Sur,96382,Mexico,"38,048.00"
Daniel Wood,daniel.wood@example.com (Valid),(056)-997-2209 (Invalid),male (Valid),58 (Valid),1966-09-19 (Valid),9321 Courtenay Place,Invercargill,Wellington,84122,New Zealand,"63,435.00"
Andréia da Paz,andreia.dapaz@example.com (Valid),(15) 5722-5506 (Invalid),female (Valid),76 (Valid),1948-06-15 (Valid),9295 Rua Santo Antônio ,Montes Claros,Piauí,31352,Brazil,"93,819.00"
Babür Poyrazoğlu,babur.poyrazoglu@example.com (Valid),(666)-915-3887 (Invalid),male (Valid),67 (Valid),1957-10-14 (Valid),7584 Necatibey Cd,Kütahya,Erzincan,13044,Turkey,"110,320.00"
